,estacao,endereco,linha,linhaID,latitude,longitude
0,Jabaquara,"R. dos Jequitibás, 80",Linha 1-Azul,1,-23.6465719,-46.6423157
1,Conceição,"Av. Eng. Armando de Arruda Pereira, 919",Linha 1-Azul,1,-23.6353726,-46.6411072
2,São Judas,"Av. Jabaquara, 2438",Linha 1-Azul,1,-23.6255275,-46.6411003
3,Saúde,"Av. Jabaquara, 1634",Linha 1-Azul,1,-23.6184283,-46.6394432
4,Praça Da Árvore,"Praça da Árvore, 39",Linha 1-Azul,1,-23.6108446,-46.6376181
5,Santa Cruz,"R. Domingos de Morais, 2564",Linha 1-Azul,1,-23.59909,-46.6372072
6,Vila Mariana,"Av. Prof. Noé Azevedo,  255",Linha 1-Azul,1,-23.5887382,-46.63439959999999
7,Ana Rosa,"R. Domingos de Morais, 505",Linha 1-Azul,1,-23.5814317,-46.6388501
8,Vergueiro,"R. Vergueiro, 790",Linha 1-Azul,1,-23.5689151,-46.6400776
9,São Joaquim,"Av. Liberdade, 1033",Linha 1-Azul,1,,
10,Japão-Liberdade,"Praça da Liberdade, 133",Linha 1-Azul,1,-19.932219,-43.937234
11,São Bento,"Largo São Bento, 109",Linha 1-Azul,1,-23.5441728,-46.63409679999999
12,Luz,"Av. Prestes Maia, 925",Linha 1-Azul,1,-23.5364878,-46.633851
13,Tiradentes,"Av. Tiradentes,  551",Linha 1-Azul,1,-23.530831,-46.6325223
14,Armênia,"R. Pedro Vicente, 47",Linha 1-Azul,1,-23.5251598,-46.6287591
15,Portuguesa-Tietê,"Av. Cruzeiro do Sul, 1777",Linha 1-Azul,1,-23.5153918,-46.6254476
16,Carandiru,"Av. Cruzeiro do Sul, 2487",Linha 1-Azul,1,-23.5091475,-46.6251645
17,Santana,"Av. Cruzeiro do Sul, 3173",Linha 1-Azul,1,-23.5027387,-46.6251067
18,Jardim São Paulo-Ayrton Senna,"Av. Leôncio de Magalhães, 1000",Linha 1-Azul,1,-23.4923919,-46.6176651
19,Parada Inglesa,"Av. Luiz Dumont Villares, 1721",Linha 1-Azul,1,-23.4871,-46.6092495
20,Tucuruvi,"Av. Dr. Antônio Maria de Laet,100",Linha 1-Azul,1,-23.480264567496388,-46.603725463108475
21,Luz,"Praça da Luz, 1",Linha 1-Azul,1,,
22,Trianon-Masp,"Av. Paulista, 1578",Linha 2-Verde,2,-23.56346524467919,-46.65378086416967
23,Vila Prudente,"Av. Prof. Luiz Inácio de Anhaia Mello, 1359",Linha 2-Verde,2,-23.5843984,-46.5819068
24,Tamanduateí,"Av. Presidente Wilson, 4841",Linha 2-Verde,2,-23.5930252,-46.58972809999999
25,Sacomã,"R. Greenfeld, entre as ruas Bom Pastor e Agostinho Gomes",Linha 2-Verde,2,,
26,Alto Do Ipiranga,"R. Dr. Gentil de Moura, 217",Linha 2-Verde,2,-23.6024502,-46.612751
27,Santos-Imigrantes,"Av. Dr. Ricardo Jafet, 2500",Linha 2-Verde,2,-23.5968305,-46.62265619999999
28,Chácara-Klabin,"R. Vergueiro, 3800",Linha 2-Verde,2,-23.593024,-46.63032870000001
29,Paraíso,"R. Vergueiro, 1456",Linha 2-Verde,2,-23.5748973,-46.6407641
30,Brigadeiro,"Av. Paulista, s/nº (alt. nº  447)",Linha 2-Verde,2,-23.5613545,-46.6564943
31,Trianon-Masp,"Av. Paulista, s/nº (alt. nº 1485)",Linha 2-Verde,2,-23.5613545,-46.6564943
32,Consolação,"Av. Paulista, s/nº (alt. nº 2163)",Linha 2-Verde,2,-23.557535681132016,-46.660523674730456
33,Clínicas,"Av. Dr. Arnaldo, 555",Linha 2-Verde,2,-23.5543572,-46.670534
34,Santuário N.Sra  De Fátima-Sumaré,"Av. Dr. Arnaldo, 1470",Linha 2-Verde,2,-23.5504192,-46.6779933
35,Vila Madalena,"Praça Américo Jacomino, 30",Linha 2-Verde,2,-23.5468407,-46.6909012
36,Corinthians-Itaquera,"Av. Projetada, 1900",Linha 3-Vermelha,3,,
37,Artur Alvim,"R. Dr. Luiz Ayres, 1800",Linha 3-Vermelha,3,-23.5431349,-46.4728595
38,Patriarca-Vila Ré,"Av. Antônio Estevan Carvalho, 1990",Linha 3-Vermelha,3,,
39,Guilhermina-Esperança,"R. Astorga, 800",Linha 3-Vermelha,3,,
